TIMESTAMP             | TID   | EVENT | SIZE (KB) | CURRENT TID RSS (KB) | PFN | REQ_ID_PARAM
----------------------------------------------------------------------------------------------------------------
05:28:15.196195 | 9935  | ALLOC |      4.00 |                 4.00 | 3698340 |                N/A
05:28:15.252440 | 9935  | ALLOC |   2048.00 |              2052.00 | 3702784 |                N/A
05:28:15.252447 | 9935  | ALLOC |      4.00 |              2056.00 | 3549037 |                N/A
05:28:15.352029 | 9945  | ALLOC |      4.00 |                 4.00 | 3030900 |                N/A
05:28:15.433873 | 9977  | ALLOC |      4.00 |                 4.00 | 3262018 |                N/A
05:28:15.970859 | 9979  | ALLOC |      4.00 |                 4.00 | 3008685 |                N/A
05:28:16.000671 | 9940  | ALLOC |      4.00 |                 4.00 | 2862101 |                N/A
05:28:16.145393 | 9937  | ALLOC |   2048.00 |              2048.00 | 3296768 |                N/A
05:28:16.145401 | 9937  | ALLOC |      4.00 |              2052.00 | 3526241 |                N/A
05:28:16.297570 | 9937  | ALLOC |      4.00 |              2056.00 | 3291103 |                N/A
05:28:16.434883 | 9976  | ALLOC |      4.00 |                 4.00 | 3706073 |                N/A
05:28:16.457125 | 9940  | ALLOC |   2048.00 |              2052.00 | 3737088 |                N/A
05:28:16.457133 | 9940  | ALLOC |      4.00 |              2056.00 | 3589859 |                N/A
05:28:16.457998 | 9938  | ALLOC |      4.00 |                 4.00 | 2681453 |                N/A
05:28:16.458018 | 9939  | ALLOC |      4.00 |                 4.00 | 3115699 |                N/A
05:28:16.553814 | 9938  | ALLOC |   2048.00 |              2052.00 | 3676672 |                N/A
05:28:16.553821 | 9938  | ALLOC |      4.00 |              2056.00 | 3328832 |                N/A
05:28:16.609121 | 9937  | ALLOC |      4.00 |              2060.00 | 1817688 |                N/A
05:28:19.324669 | 10084 | ALLOC |      4.00 |                 4.00 | 3711118 |                N/A
05:28:19.324682 | 10084 | ALLOC |      4.00 |                 8.00 | 3711117 |                N/A
05:28:19.324691 | 10084 | ALLOC |      4.00 |                12.00 | 3711116 |                N/A
05:28:19.324729 | 10084 | ALLOC |      4.00 |                16.00 | 3711115 |                N/A
05:28:19.324734 | 10084 | ALLOC |      4.00 |                20.00 | 3711114 |                N/A
05:28:19.324919 | 10084 | ALLOC |      4.00 |                24.00 | 3711113 |                N/A
05:28:19.325315 | 10084 | ALLOC |      4.00 |                28.00 | 3711112 |                N/A
05:28:19.325319 | 10084 | ALLOC |      4.00 |                32.00 | 3711111 |                N/A
05:28:19.325850 | 10084 | ALLOC |      4.00 |                36.00 | 3711110 |                N/A
05:28:19.326134 | 10084 | ALLOC |      4.00 |                40.00 | 3711109 |                N/A
05:28:19.326138 | 10084 | ALLOC |      4.00 |                44.00 | 3711108 |                N/A
05:28:19.326372 | 10084 | ALLOC |      4.00 |                48.00 | 3711107 |                N/A
05:28:19.326565 | 10084 | ALLOC |      4.00 |                52.00 | 3711106 |                N/A
05:28:19.326570 | 10084 | ALLOC |      4.00 |                56.00 | 3711105 |                N/A
05:28:19.326779 | 10084 | ALLOC |      4.00 |                60.00 | 3711104 |                N/A
05:28:19.326955 | 10084 | ALLOC |      4.00 |                64.00 | 3722751 |                N/A
05:28:19.326995 | 10084 | ALLOC |      4.00 |                68.00 | 3722750 |                N/A
05:28:19.327035 | 10084 | ALLOC |      4.00 |                72.00 | 3722749 |                N/A
05:28:19.327170 | 10084 | ALLOC |     16.00 |                88.00 | 3726072 |                N/A
05:28:19.327191 | 10084 | ALLOC |      4.00 |                92.00 | 3722748 |                N/A
05:28:19.327197 | 10084 | ALLOC |      4.00 |                96.00 | 3722747 |                N/A
05:28:20.324682 | 10123 | ALLOC |      4.00 |                 4.00 | 3035470 |                N/A
05:28:20.324695 | 10123 | ALLOC |      4.00 |                 8.00 | 3729228 |                N/A
05:28:20.324704 | 10123 | ALLOC |      4.00 |                12.00 | 3729225 |                N/A
05:28:20.324717 | 10123 | ALLOC |      4.00 |                16.00 | 3729218 |                N/A
05:28:20.324758 | 10123 | ALLOC |      4.00 |                20.00 | 3729200 |                N/A
05:28:20.324763 | 10123 | ALLOC |      4.00 |                24.00 | 3726211 |                N/A
05:28:20.324951 | 10123 | ALLOC |      4.00 |                28.00 | 3726209 |                N/A
05:28:20.324700 | 10128 | ALLOC |      4.00 |                 4.00 | 3724507 |                N/A
05:28:20.324863 | 10100 | ALLOC |      4.00 |                 4.00 | 3693792 |                N/A
05:28:20.324913 | 10100 | ALLOC |      4.00 |                 8.00 | 3247417 |                N/A
05:28:20.324918 | 10100 | ALLOC |      4.00 |                12.00 | 1695870 |                N/A
05:28:20.324771 | 10129 | ALLOC |      4.00 |                 4.00 | 2222293 |                N/A
05:28:20.324822 | 10129 | ALLOC |      4.00 |                 8.00 | 2178420 |                N/A
05:28:20.324827 | 10129 | ALLOC |      4.00 |                12.00 | 1797065 |                N/A
05:28:20.325466 | 10129 | ALLOC |      4.00 |                16.00 | 3023349 |                N/A
05:28:20.325355 | 10123 | ALLOC |      4.00 |                32.00 | 3729185 |                N/A
05:28:20.325360 | 10123 | ALLOC |      4.00 |                36.00 | 2151339 |                N/A
05:28:20.325493 | 10100 | ALLOC |      4.00 |                16.00 | 2958656 |                N/A
05:28:20.325911 | 10123 | ALLOC |      4.00 |                40.00 | 3699707 |                N/A
05:28:20.326302 | 10100 | ALLOC |      4.00 |                20.00 | 3022688 |                N/A
05:28:20.326347 | 10129 | ALLOC |      4.00 |                20.00 | 3264263 |                N/A
05:28:20.326197 | 10123 | ALLOC |      4.00 |                44.00 | 3699705 |                N/A
05:28:20.326202 | 10123 | ALLOC |      4.00 |                48.00 | 1906227 |                N/A
05:28:20.326368 | 10123 | ALLOC |      4.00 |                52.00 | 3730022 |                N/A
05:28:20.326543 | 10123 | ALLOC |      4.00 |                56.00 | 1912629 |                N/A
05:28:20.326553 | 10123 | ALLOC |      4.00 |                60.00 | 3672825 |                N/A
05:28:20.326591 | 10100 | ALLOC |      4.00 |                24.00 | 3668003 |                N/A
05:28:20.326778 | 10100 | ALLOC |      4.00 |                28.00 | 3730872 |                N/A
05:28:20.326782 | 10100 | ALLOC |      4.00 |                32.00 | 3729890 |                N/A
05:28:20.326981 | 10100 | ALLOC |      4.00 |                36.00 | 3707253 |                N/A
05:28:20.326697 | 10129 | ALLOC |      4.00 |                24.00 | 3137105 |                N/A
05:28:20.326904 | 10129 | ALLOC |      4.00 |                28.00 | 3647867 |                N/A
05:28:20.326909 | 10129 | ALLOC |      4.00 |                32.00 | 2863002 |                N/A
05:28:20.326759 | 10123 | ALLOC |      4.00 |                64.00 | 1907914 |                N/A
05:28:20.327052 | 10123 | ALLOC |      4.00 |                68.00 | 2979816 |                N/A
05:28:20.327092 | 10123 | ALLOC |      4.00 |                72.00 | 3672574 |                N/A
05:28:20.327132 | 10123 | ALLOC |      4.00 |                76.00 | 3679581 |                N/A
05:28:20.327338 | 10100 | ALLOC |     16.00 |                52.00 | 3334156 |                N/A
05:28:20.327354 | 10100 | ALLOC |      4.00 |                56.00 | 3333165 |                N/A
05:28:20.327360 | 10100 | ALLOC |      4.00 |                60.00 | 3666100 |                N/A
05:28:20.327142 | 10129 | ALLOC |      4.00 |                36.00 | 3453621 |                N/A
05:28:20.327531 | 10129 | ALLOC |     16.00 |                52.00 | 3686056 |                N/A
05:28:20.327551 | 10129 | ALLOC |      4.00 |                56.00 | 3690594 |                N/A
05:28:20.327559 | 10129 | ALLOC |      4.00 |                60.00 | 3712215 |                N/A
05:28:20.327006 | 10124 | ALLOC |      4.00 |                 4.00 | 3148786 |                N/A
05:28:20.327342 | 10124 | ALLOC |     16.00 |                20.00 | 3724848 |                N/A
05:28:20.327358 | 10124 | ALLOC |      4.00 |                24.00 | 1960067 |                N/A
05:28:20.327363 | 10124 | ALLOC |      4.00 |                28.00 | 1960066 |                N/A
05:28:20.327441 | 10123 | ALLOC |     16.00 |                92.00 | 3595260 |                N/A
05:28:20.327462 | 10123 | ALLOC |      8.00 |               100.00 | 3662054 |                N/A
05:28:20.327469 | 10123 | ALLOC |      4.00 |               104.00 | 2872183 |                N/A
05:28:20.327203 | 10128 | ALLOC |     16.00 |                20.00 | 3663048 |                N/A
05:28:20.327231 | 10128 | ALLOC |      4.00 |                24.00 | 3682741 |                N/A
05:28:20.327237 | 10128 | ALLOC |      4.00 |                28.00 | 3524848 |                N/A
05:28:29.327066 | 10084 | ALLOC |     16.00 |               112.00 | 3745892 |                N/A
05:28:29.327096 | 10084 | ALLOC |      4.00 |               116.00 | 3725226 |                N/A
05:28:29.327102 | 10084 | ALLOC |      4.00 |               120.00 | 3250836 |                N/A
05:28:29.327187 | 10084 | FREE  |     16.00 |               104.00 | 3726072 |                N/A
05:28:29.327191 | 10084 | FREE  |      4.00 |               100.00 | 3722748 |                N/A
05:28:29.327193 | 10084 | FREE  |      4.00 |                96.00 | 3722747 |                N/A
05:28:30.324853 | 10124 | ALLOC |      4.00 |                32.00 | 3669244 |                N/A
05:28:30.327276 | 10100 | ALLOC |     16.00 |                76.00 | 3726360 |                N/A
05:28:30.327302 | 10100 | ALLOC |      4.00 |                80.00 | 1297364 |                N/A
05:28:30.327308 | 10100 | ALLOC |      4.00 |                84.00 | 3679498 |                N/A
05:28:30.327404 | 10100 | FREE  |     16.00 |                68.00 | 3334156 |                N/A
05:28:30.327407 | 10100 | FREE  |      4.00 |                64.00 | 3333165 |                N/A
05:28:30.327409 | 10100 | FREE  |      4.00 |                60.00 | 3666100 |                N/A
05:28:30.327275 | 10124 | ALLOC |     16.00 |                48.00 | 3670480 |                N/A
05:28:30.327297 | 10124 | ALLOC |      4.00 |                52.00 | 3707158 |                N/A
05:28:30.327303 | 10124 | ALLOC |      4.00 |                56.00 | 3698654 |                N/A
05:28:30.327405 | 10124 | FREE  |     16.00 |                40.00 | 3724848 |                N/A
05:28:30.327408 | 10124 | FREE  |      4.00 |                36.00 | 1960067 |                N/A
05:28:30.327410 | 10124 | FREE  |      4.00 |                32.00 | 1960066 |                N/A
05:28:30.327544 | 10123 | ALLOC |     16.00 |               120.00 | 3710312 |                N/A
05:28:30.327568 | 10123 | ALLOC |      8.00 |               128.00 | 2961582 |                N/A
05:28:30.327575 | 10123 | ALLOC |      4.00 |               132.00 | 3722703 |                N/A
05:28:30.327641 | 10123 | FREE  |     16.00 |               116.00 | 3595260 |                N/A
05:28:30.327644 | 10123 | FREE  |      8.00 |               108.00 | 3662054 |                N/A
05:28:30.327646 | 10123 | FREE  |      4.00 |               104.00 | 2872183 |                N/A
05:28:30.327740 | 10129 | ALLOC |     16.00 |                76.00 | 3733660 |                N/A
05:28:30.327760 | 10129 | ALLOC |      4.00 |                80.00 | 2423769 |                N/A
05:28:30.327767 | 10129 | ALLOC |      4.00 |                84.00 | 2969356 |                N/A
05:28:30.327848 | 10129 | FREE  |     16.00 |                68.00 | 3686056 |                N/A
05:28:30.327852 | 10129 | FREE  |      4.00 |                64.00 | 3690594 |                N/A
05:28:30.327855 | 10129 | FREE  |      4.00 |                60.00 | 3712215 |                N/A
05:28:30.327446 | 10128 | ALLOC |     16.00 |                44.00 | 3653748 |                N/A
05:28:30.327500 | 10128 | ALLOC |      4.00 |                48.00 | 3021375 |                N/A
05:28:30.327507 | 10128 | ALLOC |      4.00 |                52.00 | 1862687 |                N/A
05:28:30.327599 | 10128 | FREE  |     16.00 |                36.00 | 3663048 |                N/A
05:28:30.327603 | 10128 | FREE  |      4.00 |                32.00 | 3682741 |                N/A
05:28:30.327605 | 10128 | FREE  |      4.00 |                28.00 | 3524848 |                N/A
05:28:37.694368 | 9429  | ALLOC |      4.00 |                 4.00 | 3683893 |                N/A
05:28:37.694385 | 9429  | ALLOC |      4.00 |                 8.00 | 3683894 |                N/A
05:28:37.694481 | 9429  | ALLOC |      4.00 |                12.00 | 3595699 |                N/A
05:28:37.694486 | 9429  | ALLOC |      4.00 |                16.00 | 3683895 |                N/A
05:28:37.694495 | 9429  | ALLOC |      8.00 |                24.00 | 3060686 |                N/A
05:28:37.694502 | 9429  | ALLOC |      4.00 |                28.00 | 3684216 |                N/A
05:28:37.694542 | 9429  | ALLOC |      4.00 |                32.00 | 3684217 |                N/A
05:28:37.694552 | 9429  | ALLOC |      4.00 |                36.00 | 3621636 |                N/A
05:28:37.694555 | 9429  | ALLOC |      4.00 |                40.00 | 3684218 |                N/A
05:28:37.694561 | 9429  | ALLOC |      4.00 |                44.00 | 3684219 |                N/A
05:28:37.694603 | 9429  | ALLOC |      4.00 |                48.00 | 3684220 |                N/A
05:28:37.694619 | 9429  | ALLOC |      4.00 |                52.00 | 3616715 |                N/A
05:28:37.694622 | 9429  | ALLOC |      4.00 |                56.00 | 3684221 |                N/A
05:28:37.694628 | 9429  | ALLOC |      4.00 |                60.00 | 3684222 |                N/A
05:28:37.694737 | 9429  | ALLOC |      4.00 |                64.00 | 1085680 |                N/A
05:28:37.694774 | 9429  | ALLOC |      4.00 |                68.00 | 3684223 |                N/A
05:28:37.694819 | 200636 | ALLOC |      8.00 |                 8.00 | 3222714 |                N/A
05:28:37.694835 | 200636 | ALLOC |      4.00 |                12.00 | 3633695 |                N/A
05:28:37.694712 | 200632 | ALLOC |      4.00 |                 4.00 | 3565285 | 386453419060398400
05:28:37.694715 | 200632 | ALLOC |      4.00 |                 8.00 | 3635116 | 386453419060398400
05:28:37.694774 | 200632 | ALLOC |      4.00 |                12.00 | 3678939 | 386453419060398400
05:28:37.694791 | 200632 | ALLOC |      4.00 |                16.00 | 3678940 | 386453419060398400
05:28:37.694803 | 200632 | ALLOC |      4.00 |                20.00 | 3678941 | 386453419060398400
05:28:37.694818 | 200632 | ALLOC |      4.00 |                24.00 | 3220676 | 386453419060398400
05:28:37.694874 | 200635 | ALLOC |      4.00 |                 8.00 | 3678942 |                N/A
05:28:37.694881 | 200635 | ALLOC |      4.00 |                12.00 | 3678943 |                N/A
05:28:37.694887 | 200635 | ALLOC |      4.00 |                16.00 | 3524640 |                N/A
05:28:37.694940 | 200635 | ALLOC |      4.00 |                20.00 | 3524641 |                N/A
05:28:37.694952 | 200635 | ALLOC |      4.00 |                24.00 | 3524642 |                N/A
05:28:37.694960 | 200635 | ALLOC |      4.00 |                28.00 | 3524643 |                N/A
05:28:37.694986 | 200635 | ALLOC |      4.00 |                32.00 | 3524644 |                N/A
05:28:37.695205 | 200635 | ALLOC |     32.00 |                64.00 | 3560288 |                N/A
05:28:37.694873 | 200637 | ALLOC |      4.00 |                 4.00 | 3719384 |                N/A
05:28:37.694916 | 200637 | ALLOC |      8.00 |                12.00 | 3472226 |                N/A
05:28:37.695270 | 9255  | ALLOC |      4.00 |                 4.00 | 3719385 |                N/A
05:28:37.695280 | 9255  | ALLOC |      4.00 |                 8.00 | 3719386 |                N/A
05:28:37.695334 | 9255  | ALLOC |      4.00 |                12.00 | 3368272 |                N/A
05:28:37.695337 | 9255  | ALLOC |      4.00 |                16.00 | 3719387 |                N/A
05:28:37.695350 | 9255  | ALLOC |      4.00 |                20.00 | 3719388 |                N/A
05:28:37.695387 | 9255  | ALLOC |      4.00 |                24.00 | 3719389 |                N/A
05:28:37.695405 | 9255  | ALLOC |      4.00 |                28.00 | 3719390 |                N/A
05:28:37.695411 | 9255  | ALLOC |      4.00 |                32.00 | 3719391 |                N/A
05:28:37.694507 | 200629 | ALLOC |      4.00 |                 4.00 | 3198146 | 546881539092688000
05:28:37.694513 | 200629 | ALLOC |      4.00 |                 8.00 | 3730833 | 546881539092688000
05:28:37.694551 | 200629 | ALLOC |      4.00 |                12.00 | 3730834 | 546881539092688000
05:28:37.694624 | 200629 | ALLOC |      4.00 |                16.00 | 3730835 | 546881539092688000
05:28:37.694655 | 200629 | ALLOC |      4.00 |                20.00 | 3653539 | 546881539092688000
05:28:37.694659 | 200629 | ALLOC |      4.00 |                24.00 | 3730836 | 546881539092688000
05:28:37.694711 | 200629 | ALLOC |      4.00 |                28.00 | 3730837 | 546881539092688000
05:28:37.694777 | 200629 | ALLOC |      4.00 |                32.00 | 3730838 | 546881539092688000
05:28:37.694876 | 200629 | ALLOC |      4.00 |                36.00 | 3730839 | 546881539092688000
05:28:37.694926 | 200629 | ALLOC |      4.00 |                40.00 | 3583745 | 546881539092688000
05:28:37.694929 | 200629 | ALLOC |      4.00 |                44.00 | 3730840 | 546881539092688000
05:28:37.694950 | 200629 | ALLOC |      4.00 |                48.00 | 3730841 | 546881539092688000
05:28:37.695007 | 200629 | ALLOC |      4.00 |                52.00 | 3525986 | 546881539092688000
05:28:37.695010 | 200629 | ALLOC |      4.00 |                56.00 | 3730842 | 546881539092688000
05:28:37.695029 | 200640 | ALLOC |      4.00 |                 4.00 | 3378419 |                N/A
05:28:37.694887 | 200636 | ALLOC |      4.00 |                16.00 | 3512257 |                N/A
05:28:37.694896 | 200636 | ALLOC |      4.00 |                20.00 | 3512258 |                N/A
05:28:37.694912 | 200636 | ALLOC |      4.00 |                24.00 | 3512259 |                N/A
05:28:37.694976 | 200636 | ALLOC |      4.00 |                28.00 | 3512260 |                N/A
05:28:37.694988 | 200636 | ALLOC |      4.00 |                32.00 | 3512261 |                N/A
